date,P02,P04,P07,P09,P10,P11,P12,P13,P14,P15,P16,C01,P03,P20
2011-03-09,1.2,0.9,0.1,0.1,0.6000000000000001,0.2,0.30000000000000004,0.1,0.2,0.2,0.0,238.50694444444446,0.5,0.30000000000000004
2011-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.33658536585367,0.0,0.0
2011-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.57951388888887,0.0,0.0
2011-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.29999999999998,0.0,0.0
2011-03-13,0.5,0.1,0.0,0.2,0.2,0.4,0.30000000000000004,0.1,0.1,0.0,0.30000000000000004,243.08645833333333,0.2,0.2
2011-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.7472222222222,0.0,0.0
2011-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.41463414634146,0.0,0.0
2011-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.57743055555557,0.0,0.0
2011-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.6170138888889,0.0,0.0
2011-03-18,6.800000000000001,5.800000000000001,6.9,5.800000000000001,7.4,6.800000000000001,5.6000000000000005,6.6000000000000005,6.4,6.4,5.9,306.22743055555554,6.1000000000000005,6.800000000000001
2011-03-19,0.0,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.1,0.6000000000000001,0.5,0.2,0.2,0.4,0.30000000000000004,265.0079861111111,0.6000000000000001,0.2
2011-03-20,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,240.62404181184672,0.0,0.0
2011-03-21,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.77604166666666,0.0,0.1
2011-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.3048611111111,0.0,0.0
2011-03-23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.2409722222222,0.0,0.1
2011-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.88715277777777,0.0,0.0
2011-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.03344947735192,0.0,0.0
2011-03-26,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.86909722222222,0.0,0.1
2011-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.24601449275363,0.0,0.0
2011-03-28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.5690972222222,0.0,0.0
2011-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.92256944444443,0.0,0.0
2011-03-30,10.1,5.7,6.1000000000000005,9.3,5.2,8.1,7.4,10.1,7.8,3.7,6.7,316.68125,6.7,5.8
2011-03-31,2.3000000000000003,2.6,2.8000000000000003,2.5,2.9000000000000004,3.0,3.0,2.4000000000000004,2.7,1.5,3.1,280.690243902439,3.0,2.7
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.97708333333333,0.0,0.0
2011-04-02,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.06145833333332,0.0,0.2
2011-04-03,1.8,5.3,3.0,6.6000000000000005,2.6,5.3,0.0,5.2,5.6,2.9,5.6,306.70416666666665,5.2,2.3000000000000003
2011-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.56388888888887,0.0,0.0
2011-04-05,0.5,0.1,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.1,238.28257839721257,0.1,0.0
2011-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.01527777777775,0.0,0.0
2011-04-07,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.7920138888889,0.0,0.0
2011-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0548611111111,0.0,0.1
2011-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.5857638888889,0.0,0.0
2011-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.34703832752615,0.0,0.0
2011-04-11,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,236.93923611111111,0.0,0.0
2011-04-12,3.6,2.7,2.0,2.7,1.5,5.0,0.0,3.0,3.2,2.4,3.2,280.0444444444445,1.5,1.8
2011-04-13,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.03020833333332,0.0,0.0
2011-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.53229166666668,0.0,0.0
2011-04-15,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.1320557491289,0.0,0.0
2011-04-16,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.43368055555555,0.0,0.0
2011-04-17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.84548611111111,0.0,0.0
2011-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.92222222222225,0.0,0.0
2011-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.9190972222222,0.0,0.0
2011-04-20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.3397212543554,0.0,0.0
2011-04-21,0.1,0.0,0.0,0.0,0.0,0.2,0.30000000000000004,0.0,0.0,0.0,0.0,230.5982638888889,0.0,0.0
2011-04-22,17.2,0.7,0.0,5.7,0.0,0.6000000000000001,0.0,8.0,0.5,1.0,0.6000000000000001,239.36527777777778,0.0,0.0
2011-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.31145833333332,0.0,0.0
2011-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,222.10208333333333,0.0,0.0
2011-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.02961672473867,0.0,0.0
2011-04-26,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,233.3954861111111,0.0,0.1
2011-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,236.8357638888889,0.0,0.0
2011-04-28,3.5,8.5,7.0,6.8,3.1,7.800000000000001,10.0,4.9,7.2,7.3,8.0,308.01493055555557,10.1,5.9
2011-04-29,0.30000000000000004,0.2,0.4,0.2,0.30000000000000004,0.8999999999999999,0.6,0.4,0.30000000000000004,0.30000000000000004,0.5,251.6329861111111,0.30000000000000004,0.5
